pano,ons_const_id,constituency_name,Con_Margin,intermediate_step,Incumbency_Status,country,region,constituency_type,winner_15,con_15,lab_15,ld_15,snp_15,pc_15,ukip_15,green_15,other_15,majority_15,turnout_15,con_vote_15,lab_vote_15,ld_vote_15,snp_vote_15,pc_vote_15,ukip_vote_15,green_vote_15,bnp_vote_15,total_vote_15,rejected_vote_15,electorate_15,seat_change_1015,con_1015,lab_1015,ld_1015,snp_1015,pc_1015,ukip_1015,green_1015,winner_10,con_10,lab_10,ld_10,snp_10,pc_10,ukip_10,green_10,bnp_10,majority_10,turn_10,con_vote_10,lab_vote_10,ld_vote_10,snp_vote_10,pc_vote_10,ukip_vote_10,green_vote_10,bnp_vote_10,total_vote_10,electorate_10,con_ppc_,con_ppc_sex,con_ppc_race,lab_ppc_,lab_ppc_sex,lab_ppc_race,ld_ppc_,ld_ppc_sex,ld_ppc_race,ukip_ppc_,ukip_ppc_sex,ukip_ppc_race,snp_ppc_,snp_ppc_sex,snp_ppc_race,pc_ppc_,pc_ppc_sex,pc_ppc_race,green_ppc_,green_ppc_sex,green_ppc_race,con_long_spend_percent,con_short_spend_percent,lab_long_spend_percent,lab_short_spend_percent,ldlong_spend_percent,ldshort_spend_percent,snplong_spend_percent,snpshort_spend_percent,pclong_spend_percent,pcshort_spend_percent,ukiplong_spend_percent,ukipshort_spend_percent,green_long_spend_percent,green_short_spend_percent
492,E14000962,St Helens North,-29.4,0,0,England,North West,Borough,Labour,19.64501902,57.02611553,4.423209962,NA,NA,15.09641992,3.809235559,NA,37.38109651,61.45996652,9087,26378,2046,NA,NA,6983,1762,NA,46256,192,75262,NA,-2.664980975,5.316115531,-15.75679004,NA,NA,10.38641992,3.809235559,Labour,22.31,51.71,20.18,NA,NA,4.71,0,NA,29.4,59.4,9940,23041,8992,NA,NA,2100,NA,NA,44556,74985,"Richardson, Paul Daryl",Man,White,"McGinn, Conor Patrick",Man,White,"Aspinall, Denise Margaret Elizabeth",Woman,White,"Smith, Ian Thomas",Man,White,NA,NA,NA,NA,NA,NA,"Ward, Elizabeth Mary",Woman,BME,0.34,30.28,2.23,18.8,0,0,NA,NA,NA,NA,0.06,44.62,0.19,3.71
493,E14000963,St Helens South and Whiston,-35.06,0,0,England,North West,Borough,Labour,15.92454078,59.8177573,5.655309213,NA,NA,13.98020538,4.622187326,NA,43.89321652,62.27097272,7707,28950,2737,NA,NA,6766,2237,NA,48397,171,77720,NA,-1.885459223,6.947757299,-16.57469079,NA,NA,11.32020538,4.622187326,Labour,17.81,52.87,22.23,NA,NA,2.66,0,4.43,30.6,59.1,8209,24364,10242,NA,NA,1226,NA,2040,46081,77975,"Keegan, Gillian",Woman,White,"Rimmer, Marie Elizabeth",Woman,White,"Spencer, Brian Thomas",Man,White,"Beirne, John",Man,White,NA,NA,NA,NA,NA,NA,"Chan, James Kim Ming",Man,BME,0.3,43.75,0,33.03,0,0,NA,NA,NA,NA,0.56,7.82,0.18,8.62
494,E14000964,St Ives,-3.74,1,-1,England,South West,County,Conservative,38.27413479,9.335154827,33.16360325,NA,NA,11.83970856,6.315201192,1.072197384,5.110531545,73.6800366,18491,4510,16022,NA,NA,5720,3051,NA,48312,78,65570,Conservative gain from Liberal Democrat,-0.705865209,1.165154827,-9.556396754,NA,NA,6.269708561,3.465201192,Liberal Democrat,38.98,8.17,42.72,NA,NA,5.57,2.85,NA,3.7,68.6,17900,3751,19619,NA,NA,2560,1308,NA,45921,66944,"Thomas, Derek",Man,White,"Olivier, Cornelius",Man,White,"George, Andrew Henry",Man,White,"Calderwood, Graham David",Man,White,NA,NA,NA,NA,NA,NA,"Andrewes, Tim",Man,White,78.84,93.34,4.98,16.19,100.2,91.61,NA,NA,NA,NA,9.23,15.82,34.24,86.48
495,E14000911,Salford and Eccles,-19.64,0,0,England,North West,Borough,Labour,20.39481288,49.38397171,3.730843023,NA,NA,18.0439657,5.203300895,3.2431058,28.98915883,58.23181812,8823,21364,1614,NA,NA,7806,2251,NA,43261,201,74291,NA,-0.06518712,9.283971707,-22.58915698,NA,NA,15.4339657,5.203300895,Labour,20.46,40.1,26.32,NA,NA,2.61,0,6.34,13.8,55,8497,16655,10930,NA,NA,1084,NA,2632,41533,67511,"Downes, Greg",Man,White,"Long Bailey, Rebecca",Woman,White,"Briggs, Charlie",Man,White,"Doyle, Paul Frank",Man,White,NA,NA,NA,NA,NA,NA,"van Dyke, Emma",Woman,White,0,12.93,14.03,71.78,0,0,NA,NA,NA,NA,0,5.74,0,0
496,E14000912,Salisbury,12.3,1,1,England,South West,County,Conservative,55.60003944,15.32590474,10.05620747,NA,NA,12.13292575,5.447194557,1.437728035,40.2741347,72.87085741,28192,7771,5099,NA,NA,6152,2762,NA,50705,68,69582,NA,6.390039444,7.715904743,-26.85379253,NA,NA,9.262925747,4.407194557,Conservative,49.21,7.61,36.91,NA,NA,2.87,1.04,1.58,12.3,71.9,23859,3690,17893,NA,NA,1392,506,765,48481,72790,"Glen, John",Man,White,"Corbin, Tom",Man,White,"Banerji, Reeten",Man,BME,"Martin, Paul St John",Man,White,NA,NA,NA,NA,NA,NA,"Craig, Alison",Woman,White,2.61,82.56,13.38,114.2,9.67,28.91,NA,NA,NA,NA,12.43,35.99,3.78,1.48
497,E14000913,Scarborough and Whitby,16.5,1,1,England,Yorkshire and The Humber,County,Conservative,43.17853327,30.19124825,4.522507803,NA,NA,17.09713232,4.576970611,0.433607742,12.98728503,64.9413013,20613,14413,2159,NA,NA,8162,2185,NA,47739,186,73511,NA,0.348533275,3.861248246,-17.9874922,NA,NA,14.08713232,3.086970611,Conservative,42.83,26.33,22.51,NA,NA,3.01,1.49,2.93,16.5,65.3,21108,12978,11093,NA,NA,1484,734,1445,49282,69591,"Goodwill, Robert",Man,White,"McInnes, Ian Alistair",Man,White,"Beckett, Michael",Man,White,"Cross, Sam",Man,White,NA,NA,NA,NA,NA,NA,"Malone, David Hugh",Man,White,3.93,33.65,15.41,18.86,0.57,21.01,NA,NA,NA,NA,10.65,27.26,0.93,2.02
498,E14000914,Scunthorpe,-6.88,1,-1,England,Yorkshire and The Humber,County,Labour,33.18534961,41.6691481,2.084404862,NA,NA,17.13272516,2.40112612,3.527246149,8.483798489,57.69777431,12259,15393,770,NA,NA,6329,887,NA,36941,133,64025,NA,0.535349612,2.139148101,-16.20559514,NA,NA,12.58272516,1.33112612,Labour,32.65,39.53,18.29,NA,NA,4.55,1.07,3.91,6.9,58.7,12091,14640,6774,NA,NA,1686,396,1447,37034,68186,"Gideon, Jo",Woman,White,"Dakin, Nic",Man,White,"Dodd, Simon James",Man,White,"Howd, Stephen",Man,White,NA,NA,NA,NA,NA,NA,"Dwyer, Martin John",Man,White,0,44.82,0,49.4,0,0,NA,NA,NA,NA,3.8,7.75,0.58,3.45
499,E14000915,Sedgefield,-21.62,1,-1,England,North East,County,Labour,29.52784379,47.20270689,3.538588697,NA,NA,16.59778903,3.133071598,NA,17.67486311,61.60651773,11432,18275,1370,NA,NA,6426,1213,NA,38716,96,62844,NA,6.047843786,2.102706891,-16.4314113,NA,NA,12.91778903,3.133071598,Labour,23.48,45.1,19.97,NA,NA,3.68,0,5.16,21.6,62.1,9445,18141,8033,NA,NA,1479,NA,2075,40222,69519,"Wood, Scott",Man,White,"Wilson, Phil",Man,White,"Glenn, Stephen Patrick",Man,White,"Leathley, John Paul",Man,White,NA,NA,NA,NA,NA,NA,"Robinson, Greg William",Man,White,6.36,3.71,6.36,67.67,0,7.55,NA,NA,NA,NA,0,4.5,0,0
500,E14000916,Sefton Central,-7.97,1,-1,England,North West,County,Labour,29.6056792,53.77083291,4.255319149,NA,NA,9.952877338,2.415291406,NA,24.16515371,72.36212801,14513,26359,2086,NA,NA,4879,1184,NA,49021,200,67744,NA,-4.324320801,11.87083291,-15.66468085,NA,NA,5.712877338,2.415291406,Labour,33.93,41.9,19.92,NA,NA,4.24,0,NA,8,71.8,16445,20307,9656,NA,NA,2055,NA,NA,48463,69378,"Allen, Valerie Margaret",Woman,White,"Esterson, Bill",Man,White,"Keaveney, Paula Clare",Woman,White,"Power, Tim",Man,White,NA,NA,NA,NA,NA,NA,"Melia, Lindsay Rebecca",Woman,White,0,0,30.29,48.53,0,7.97,NA,NA,NA,NA,0,0,0,0
501,E14000917,Selby and Ainsty,23.71,1,1,England,Yorkshire and The Humber,County,Conservative,52.50549201,26.83130066,3.636088175,NA,NA,13.99325809,2.774411029,0.259450042,25.67419135,69.40406404,27725,14168,1920,NA,NA,7389,1465,NA,52804,172,76082,NA,3.085492008,1.121300659,-14.11391182,NA,NA,10.83325809,2.774411029,Conservative,49.42,25.71,17.75,NA,NA,3.16,0,2.66,23.7,71.1,25562,13297,9180,NA,NA,1635,NA,1377,51728,65869,"Adams, Nigel",Man,White,"Hayes, Mark",Man,White,"Turner, Nicola Jane",Woman,White,"Heath, Colin",Man,White,NA,NA,NA,NA,NA,NA,"Richards, Ian George",Man,White,32.16,79.73,18.21,80.03,0.42,0.44,NA,NA,NA,NA,0,4.28,0,2.33
502,E14000918,Sevenoaks,35.44,1,1,England,South East,County,Conservative,56.92083633,12.86409704,7.854520788,NA,NA,17.89561887,4.464926981,NA,39.02521746,69.65730009,28531,6448,3937,NA,NA,8970,2238,NA,50124,231,71958,NA,0.100836326,-0.375902961,-13.52547921,NA,NA,14.28561887,4.464926981,Conservative,56.82,13.24,21.38,NA,NA,3.61,0,2.8,35.5,71,28076,6541,10561,NA,NA,1782,NA,1384,49408,67284,"Fallon, Michael",Man,White,"Clark, Christopher Robert",Man,White,"Bullion, Alan James",Man,White,"Lindsay, Steve",Man,White,NA,NA,NA,NA,NA,NA,"Boleyn, Amelie Elisabeth",Woman,White,0,75.3,5.44,21.19,0,7.01,NA,NA,NA,NA,0.13,10.57,0,4.71
503,E14000921,"Sheffield, Brightside and Hillsborough",-43.51,0,0,England,Yorkshire and The Humber,Borough,Labour,11.00292113,56.58252815,4.499038774,NA,NA,22.11070332,4.274336504,1.530472124,34.47182483,56.51296667,4407,22663,1802,NA,NA,8856,1712,NA,40053,149,70874,NA,-0.47707887,1.59252815,-15.46096123,NA,NA,18.01070332,4.274336504,Labour,11.48,54.99,19.96,NA,NA,4.1,0,7.78,35,57.1,4468,21400,7768,NA,NA,1596,NA,3026,38914,71443,"D??nweber, Elise",Woman,White,"Harpham, Harry",Man,White,"Harston, Jonathan",Man,White,"Booker, John Charles",Man,White,NA,NA,NA,NA,NA,NA,"Gilligan Kubu, Christine",Woman,White,0,9.13,6.29,51.09,1.96,1.74,NA,NA,NA,NA,1.65,4.23,0.56,1.34
504,E14000919,Sheffield Central,-31.19,1,-1,England,Yorkshire and The Humber,Borough,Labour,11.13123401,55.02909017,9.684648994,NA,NA,7.461571548,15.84452041,0.84893487,39.18456976,61.079078,4917,24308,4278,NA,NA,3296,6999,NA,44173,199,72321,NA,0.991234012,13.69909017,-31.24535101,NA,NA,5.891571548,12.09452041,Labour,10.14,41.33,40.93,NA,NA,1.57,3.75,2.18,0.4,59.6,4206,17138,16973,NA,NA,652,1556,903,41468,67689,"Roe, Stephanie",Woman,White,"Blomfield, Paul Christopher",Man,White,"Otten, Joe",Man,White,"Cook, Dominic",Man,White,NA,NA,NA,NA,NA,NA,"Creasy, Jillian",Woman,White,0,10,7.88,64.77,4.98,16.47,NA,NA,NA,NA,0,0.61,15.83,70.52
505,E14000922,"Sheffield, Hallam",-29.89,1,-1,England,Yorkshire and The Humber,County,Liberal Democrat,13.59744777,35.79964312,40.04073467,NA,NA,6.443647375,3.193886195,0.924640868,4.241091545,76.68311426,7544,19862,22215,NA,NA,3575,1772,NA,55481,121,72351,NA,-9.952552225,19.70964312,-13.39926533,NA,NA,4.103647375,1.393886195,Liberal Democrat,23.55,16.09,53.44,NA,NA,2.34,1.8,NA,29.9,73.7,12040,8228,27324,NA,NA,1195,919,NA,51135,75446,"Walker, Ian Geoffrey",Man,White,"Coppard, Oliver James",Man,White,"Clegg, Nick",Man,White,"Jenkins, Joe",Man,White,NA,NA,NA,NA,NA,NA,"Garbutt, Peter Adrian",Man,White,4.06,34.04,17.56,94.97,44.66,92.94,NA,NA,NA,NA,2.85,1.58,1.19,4.28
506,E14000923,"Sheffield, Heeley",-25.26,0,0,England,Yorkshire and The Humber,Borough,Labour,16.15296804,48.20443303,11.28710046,NA,NA,17.39678463,6.102549467,0.856164384,30.8076484,61.8807947,6792,20269,4746,NA,NA,7315,2566,NA,42048,131,67950,NA,-1.177031963,5.614433029,-17.10289954,NA,NA,13.65678463,3.682549467,Labour,17.33,42.59,28.39,NA,NA,3.74,2.42,5.53,14.2,62,7081,17409,11602,NA,NA,1530,989,2260,40871,78930,"Castens, Stephen John",Man,White,"Haigh, Louise",Woman,White,"Clement-Jones, Simon William",Man,White,"Denby, Howard",Man,White,NA,NA,NA,NA,NA,NA,"Wilcox, Rita Louise",Woman,White,0,8.82,4,82.3,11.67,51.24,NA,NA,NA,NA,1.51,3.27,1.07,5.3
507,E14000920,Sheffield South East,-31.32,1,-1,England,Yorkshire and The Humber,Borough,Labour,17.37315581,51.43097037,5.340050378,NA,NA,21.89756507,2.679620967,1.2786374,29.5334053,59.19314987,7242,21439,2226,NA,NA,9128,1117,NA,41685,108,70422,NA,-0.016844189,2.720970373,-17.99994962,NA,NA,17.33756507,2.679620967,Labour,17.39,48.71,23.34,NA,NA,4.56,0,5.66,25.4,61.5,7202,20169,9664,NA,NA,1889,NA,2345,41408,75855,"Sleat, Matt",Man,White,"Betts, Clive James Charles",Man,White,"Smith, Gail",Woman,White,"Winstone, Steven Dominic",Man,White,NA,NA,NA,NA,NA,NA,"Duckenfield, Linda Shirley",Woman,White,0,0,7.47,24.75,1.96,1.75,NA,NA,NA,NA,0,69.41,0.56,1.34
508,E14000924,Sherwood,0.43,1,1,England,East Midlands,County,Conservative,45.03727958,35.87123752,2.15787605,NA,NA,14.59426407,2.185490552,0.153852223,9.166042053,69.11887006,22833,18186,1094,NA,NA,7399,1108,NA,50698,127,73349,NA,5.797279577,-2.938762476,-12.72212395,NA,NA,11.55426407,2.185490552,Conservative,39.24,38.81,14.88,NA,NA,3.04,0,3.58,0.4,68.9,19211,18997,7283,NA,NA,1490,NA,1754,48954,77232,"Spencer, Mark Steven",Man,White,"Mathers, L?©onie Frances",Woman,White,"Mosley, Daniel Nicholas",Man,NA,"Chadd, Sara? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ",Woman,White,NA,NA,NA,NA,NA,NA,"Davies-Bright, Lydia Rowan",Woman,White,53.44,83.39,54.03,83.32,0,0,NA,NA,NA,NA,0,14.07,0,0
509,E14000925,Shipley,20.12,1,1,England,Yorkshire and The Humber,County,Conservative,49.9960429,30.95445372,3.856198805,NA,NA,8.861936607,5.257013969,1.074354003,19.04158917,71.7274069,25269,15645,1949,NA,NA,4479,2657,NA,50542,120,70464,NA,1.436042895,2.514453722,-16.1538012,NA,NA,8.861936607,2.267013969,Conservative,48.56,28.44,20.01,NA,NA,0,2.99,NA,20.1,73,24002,14058,9890,NA,NA,NA,1477,NA,49427,84978,"Davies, Philip Andrew",Man,White,"Clapcote, Steve",Man,White,"Martin, Andrew Philip",Man,White,"Khan, Waqas Ali",Man,BME,NA,NA,NA,NA,NA,NA,"Warnes, Kevin Robert",Man,White,33.88,88.98,13.55,47.13,0,6.59,NA,NA,NA,NA,0,7.44,1.78,5.27
510,E14000926,Shrewsbury and Atcham,14.98,1,1,England,West Midlands,County,Conservative,45.5214225,27.84185428,7.888802632,NA,NA,14.44124062,4.153266053,0.153413922,17.67956822,70.81413613,24628,15063,4268,NA,NA,7813,2247,NA,54102,113,76400,NA,1.571422498,7.261854275,-21.08119737,NA,NA,11.37124062,3.083266053,Conservative,43.95,20.58,28.97,NA,NA,3.07,1.07,2.2,15,70.3,23313,10915,15369,NA,NA,1627,565,1168,53045,82266,"Kawczynski, Daniel Robert",Man,White,"Davies, Laura Louisa",Woman,White,"Tinker, Christine Mary",Woman,White,"Evans, Suzanne Elizabeth",Woman,White,NA,NA,NA,NA,NA,NA,"Bullard, Emma Catherine Mary",Woman,White,22.41,97.72,4.12,48.44,28.87,36.66,NA,NA,NA,NA,8.7,23.62,0,5.69
511,E14000849,North Shropshire,30.51,1,1,England,West Midlands,County,Conservative,51.43514732,20.06162859,5.987864493,NA,NA,17.61740818,4.89795142,NA,31.37351873,66.66793477,27041,10547,3148,NA,NA,9262,2575,NA,52573,116,78858,NA,-0.024852681,1.931628593,-14.96213551,NA,NA,12.92740818,3.33795142,Conservative,51.46,18.13,20.95,NA,NA,4.69,1.56,3.21,30.5,65.7,26692,9406,10864,NA,NA,2432,808,1667,51869,76288,"Paterson, Owen William",Man,White,"Currie, Graeme Roger",Man,White,"Thornhill, Tom",Man,White,"Allen, Andrea Christabel",Woman,White,NA,NA,NA,NA,NA,NA,"Kerr, Duncan",Man,White,1.99,82.03,0.96,6.6,0,3.73,NA,NA,NA,NA,7.53,7.67,3.83,0
512,E14000927,Sittingbourne and Sheppey,25.49,1,1,England,South East,County,Conservative,49.46534894,19.58969582,3.165377294,NA,NA,24.82279558,2.399854186,0.556928187,24.64255336,64.95566839,24425,9673,1563,NA,NA,12257,1185,NA,49378,167,76018,NA,-0.584651059,-4.970304184,-13.18462271,NA,NA,19.45279558,2.399854186,Conservative,50.05,24.56,16.35,NA,NA,5.37,0,2.69,25.5,64.5,24313,11930,7943,NA,NA,2610,NA,1305,48578,77304,"Henderson, Gordon",Man,White,"Nicholson, Guy",Man,White,"Nevols, Keith Stuart",Man,White,"Palmer, Richard",Man,White,NA,NA,NA,NA,NA,NA,"Miller, Gary",Man,White,28.36,80.59,2.17,29.67,0.42,8.12,NA,NA,NA,NA,39.74,7.52,0,0
513,E14000928,Skipton and Ripon,18.18,1,1,England,Yorkshire and The Humber,County,Conservative,55.44089884,17.38851519,7.43598673,NA,NA,14.02335087,5.711248373,NA,38.05238366,71.18403027,30248,9487,4057,NA,NA,7651,3116,NA,54559,199,76645,NA,4.850898843,7.338515185,-24.97401327,NA,NA,10.53335087,5.711248373,Conservative,50.59,10.05,32.41,NA,NA,3.49,0,2.56,18.2,70.7,27685,5498,17735,NA,NA,1909,NA,1403,54724,67881,"Smith, Julian Richard",Man,White,"Birks, Malcolm James",Man,White,"Bell, Jacqueline",Woman,White,"Henderson, Alan",Man,White,NA,NA,NA,NA,NA,NA,"Brown, Andrew",Man,White,7.06,81.85,0,20.49,0.38,10.74,NA,NA,NA,NA,4.76,13.47,1.63,2.97
514,E14000929,Sleaford and North Hykeham,33.43,1,1,England,East Midlands,County,Conservative,56.18784709,17.25752292,5.650264755,NA,NA,15.68513496,NA,5.219230273,38.93032416,70.41331333,34805,10690,3500,NA,NA,9716,NA,NA,61944,225,87972,NA,4.587847088,0.377522924,-12.51973524,NA,NA,12.05513496,NA,Conservative,51.6,16.88,18.17,NA,NA,3.63,0,3.32,33.4,69.6,30719,10051,10814,NA,NA,2163,NA,1977,59530,81548,"Phillips, Stephen James",Man,White,"Pandya-Wood, Jason John",Man,White,"Holden, Matthew Trevor James",Man,White,"Hopkins, Steven Richard",Man,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22,68.02,1.47,5.4,0,6.15,NA,NA,NA,NA,0,0,0,0
515,E14000930,Slough,-11.57,1,-1,England,South East,Borough,Labour,33.31952356,48.51579492,2.641118591,NA,NA,12.99637494,2.527187985,NA,15.19627136,55.89583864,16085,23421,1275,NA,NA,6274,1220,NA,48275,260,86366,NA,-0.950476437,2.675794925,-11.89888141,NA,NA,9.816374935,1.387187985,Labour,34.27,45.84,14.54,NA,NA,3.18,1.14,NA,11.6,62,16361,21884,6943,NA,NA,1517,542,NA,47742,76243,"Singh, Gurcharan",Man,BME,"Mactaggart, Fiona Margaret",Woman,White,"McCann, Thomas Diamond",Man,White,"Coad, Diana",Woman,White,NA,NA,NA,NA,NA,NA,"Edmonds, Julian Edward Jubal",Man,White,0,42.69,44.89,74.2,0,8.83,NA,NA,NA,NA,0,2.24,0.12,0.03
516,E14000931,Solihull,-0.32,1,-1,England,West Midlands,Borough,Conservative,49.20863835,10.39266872,25.65581701,NA,NA,11.61211413,2.979243871,0.151517917,23.55282134,70.26912617,26956,5693,14054,NA,NA,6361,1632,NA,54779,140,77956,Conservative gain from Liberal Democrat,6.658638347,1.522668723,-17.21418299,NA,NA,9.432114131,2.979243871,Liberal Democrat,42.55,8.87,42.87,NA,NA,2.18,0,2.95,0.3,70.8,23460,4891,23635,NA,NA,1200,NA,1624,55129,75822,"Knight, Julian",Man,White,"Knowles, Nigel",Man,White,"Burt, Lorely James",Woman,White,"Henrick, Philip Hugh",Man,White,NA,NA,NA,NA,NA,NA,"Allen, Howard",Man,White,91.36,82.94,1.65,24.37,71.64,93.62,NA,NA,NA,NA,4.46,0,17.14,54.99
517,E14000850,North Somerset,13.57,1,1,England,South West,County,Conservative,53.5102304,14.32085779,12.70062095,NA,NA,13.01109565,6.457195209,NA,39.1893726,73.52952184,31540,8441,7486,NA,NA,7669,3806,NA,58942,220,80161,NA,4.240230396,3.190857792,-22.99937905,NA,NA,9.111095653,6.457195209,Conservative,49.27,11.13,35.7,NA,NA,3.9,0,NA,13.6,75,28549,6448,20687,NA,NA,2257,NA,NA,57941,63294,"Fox, Liam",Man,White,"Chambers, Gregory Lawrence",Man,White,"Kravis, Marcus Dov",Man,White,"Kealey, Ian Edmund",Man,White,NA,NA,NA,NA,NA,NA,"Derbyshire, David Andrew",Man,White,16.01,59.24,1.69,14.9,31.41,77.81,NA,NA,NA,NA,0,0,0,0
518,E14000846,North East Somerset,9.6,1,1,England,South West,County,Conservative,49.77303854,24.82880063,7.882997456,NA,NA,12.03287028,5.482293093,NA,24.94423792,73.66676276,25439,12690,4029,NA,NA,6150,2802,NA,51110,153,69380,NA,8.503038544,-6.841199374,-14.44700254,NA,NA,8.60287028,4.172293093,Conservative,41.27,31.67,22.33,NA,NA,3.43,1.31,NA,9.6,76,21130,16216,11433,NA,NA,1754,670,NA,51203,74532,"Rees-Mogg, Jacob William",Man,White,"Foreman, Todd David",Man,White,"Hobhouse, Wera",Woman,White,"Blaber, Ernie",Man,White,NA,NA,NA,NA,NA,NA,"Boyce, Katy",Woman,White,30.86,66.77,60.04,58.4,11.66,24.65,NA,NA,NA,NA,11.36,13.42,0.67,1.72
519,E14000932,Somerton and Frome,-2.99,0,0,England,South West,County,Conservative,52.99374886,7.327264587,19.38682452,NA,NA,10.67668176,9.010263808,0.605216469,33.60692434,72.41627742,31960,4419,11692,NA,NA,6439,5434,NA,60309,168,83281,Conservative gain from Liberal Democrat,8.48374886,2.917264587,-28.11317548,NA,NA,7.486681756,9.010263808,Liberal Democrat,44.51,4.41,47.5,NA,NA,3.19,0,NA,3,74.3,26976,2675,28793,NA,NA,1932,NA,NA,60612,71931,"Warburton, David John",Man,White,"Oakensen, David Alan",Man,White,"Rendel, David Digby",Man,White,"Dimmick, Alan Ivor",Man,White,NA,NA,NA,NA,NA,NA,"Simon, Theo",Man,White,46.83,97.61,0.55,5.5,71.91,98.05,NA,NA,NA,NA,0,3.49,2.13,18.51
520,E14000939,South Holland and The Deepings,43.6,1,1,England,East Midlands,County,Conservative,59.55047046,12.44131932,2.97925092,NA,NA,21.81803402,3.210925275,NA,37.73243644,64.35652629,29303,6122,1466,NA,NA,10736,1580,NA,49207,160,76460,NA,0.490470462,-1.558680676,-12.48074908,NA,NA,15.34803402,1.770925275,Conservative,59.06,14,15.46,NA,NA,6.47,1.44,3.58,43.6,65.8,29639,7024,7759,NA,NA,3246,724,1796,50188,66918,"Hayes, John Henry",Man,White,"Mahabadi, Matthew Arman",Man,BME,"Smid, Jiri George",Man,White,"Parsons, David Robert",Man,White,NA,NA,NA,NA,NA,NA,"Wilshire, Dan",Man,White,14.49,80.54,2.87,0,3.46,0,NA,NA,NA,NA,0.39,17.2,0,4.58
521,E14000943,South Ribble,10.8,0,0,England,North West,County,Conservative,46.42543441,35.07351537,4.414741264,NA,NA,14.08630896,NA,NA,11.35191904,68.46736132,24313,18368,2312,NA,NA,7377,NA,NA,52370,162,76489,NA,0.955434409,0.403515371,-9.715258736,NA,NA,10.40630896,NA,Conservative,45.47,34.67,14.13,NA,NA,3.68,0,2.05,10.8,67.9,23396,17842,7271,NA,NA,1895,NA,1054,51458,67200,"Kennedy, Seema Louise Ghiassi",Woman,BME,"Bennett, Veronica Lucy",Woman,White,"McGuire, Sue",Woman,White,"Gallagher, David",Man,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.38,93.49,22.33,13.42,0.16,7.74,NA,NA,NA,NA,14.18,10.16,0,0
522,E14000944,South Shields,-30.43,1,-1,England,North East,Borough,Labour,16.60278505,51.25878947,1.762029505,NA,NA,21.99090032,4.450572177,3.93492348,29.26788915,57.81125458,6021,18589,639,NA,NA,7975,1614,NA,36265,81,62730,NA,-4.987214946,-0.761210534,-12.44797049,NA,NA,21.99090032,2.360572177,Labour,21.59,52.02,14.21,NA,NA,0,2.09,6.52,30.4,57.7,7886,18995,5189,NA,NA,NA,762,2382,36518,70479,"Oliver, Robert Geoffrey",Man,White,"Lewell-Buck, Emma Louise",Woman,White,"Gordon, Gitanjali (Gita)",Woman,BME,"Dennis, Norman Hanson",Man,White,NA,NA,NA,NA,NA,NA,"Ford, Shirley Florence",Woman,White,0,11.5,0.81,73.33,0.21,2.1,NA,NA,NA,NA,0,9.99,0.54,0.93
523,E14000955,"Southampton, Itchen",-0.43,0,0,England,South East,Borough,Conservative,41.72668307,36.54663386,3.567434578,NA,NA,13.44218296,4.195929322,0.521136211,5.180049206,61.85581273,18656,16340,1595,NA,NA,6010,1876,NA,44710,115,72281,Conservative gain from Labour,5.396683069,-0.213366137,-17.27256542,NA,NA,9.102182957,2.845929322,Labour,36.33,36.76,20.84,NA,NA,4.34,1.35,NA,0.4,59.6,16134,16326,9256,NA,NA,1928,600,NA,44412,74532,"Smith, Royston",Man,White,"Davis, Rowenna",Woman,White,"Bell, Eleanor",Woman,White,"Rose, Kim",Man,White,NA,NA,NA,NA,NA,NA,"Spottiswoode, John Charles Thomas",Man,White,67.62,95.51,86.94,85.82,0.08,8.76,NA,NA,NA,NA,19.39,31,0,6.82
524,E14000956,"Southampton, Test",-5.47,1,-1,England,South East,Borough,Labour,32.546046,41.27416842,4.8588839,NA,NA,12.75084761,5.882891964,2.6871621,8.728122423,62.12039277,14207,18017,2121,NA,NA,5566,2568,NA,43652,147,70270,NA,-0.463954,2.794168423,-17.4711161,NA,NA,8.840847613,3.892891964,Labour,33.01,38.48,22.33,NA,NA,3.91,1.99,NA,5.5,61.4,14588,17001,9865,NA,NA,1726,881,NA,44187,71931,"Moulton, Jeremy",Man,White,"Whitehead, Alan",Man,White,"Ford, Adrian",Man,White,"Hingston, Pearline",Woman,BME,NA,NA,NA,NA,NA,NA,"Mawle, Angela",Woman,White,7.4,42.53,33.47,53.44,0.08,8.62,NA,NA,NA,NA,0.77,1.47,0,7.03
